theta0,theta1,v_gamma
-10.0,-10.0,41.44035243274857
-9.5,-10.0,41.440352381954334
-9.0,-10.0,41.44035229820876
-8.5,-10.0,41.44035216013568
-8.0,-10.0,41.44035193249169
-7.5,-10.0,41.440351557170146
-7.0,-10.0,41.44035093836966
-6.5,-10.0,41.44034991814015
-6.0,-10.0,41.44034823606618
-5.5,-10.0,41.44034546279559
-5.0,-10.0,41.4403408904466
-4.5,-10.0,41.440333351921126
-4.0,-10.0,41.44032092300326
-3.5,-10.0,41.44030043120782
-3.0,-10.0,41.44026664601894
-2.5,-10.0,41.44021094385007
-2.0,-10.0,41.44011910701756
-1.5,-10.0,41.43996769508711
-1.0,-10.0,41.43971806284569
-0.5,-10.0,41.439306499267325
0.0,-10.0,41.438627973931915
0.5,-10.0,41.43750935167343
1.0,-10.0,41.435665264354526
1.5,-10.0,41.43262544633688
2.0,-10.0,41.42761517703059
2.5,-10.0,41.41935883201129
3.0,-10.0,41.405757805199265
3.5,-10.0,41.38336439779274
4.0,-10.0,41.34652765734207
4.5,-10.0,41.286020742979034
5.0,-10.0,41.18687303839928
5.5,-10.0,41.02504737654317
6.0,-10.0,40.76261355425124
6.5,-10.0,40.3414285388154
7.0,-10.0,39.67662159077052
7.5,-10.0,38.65436534413053
8.0,-10.0,37.1440101955491
8.5,-10.0,35.03921470401349
9.0,-10.0,32.333055992225475
9.5,-10.0,29.19247809030891
10.0,-10.0,25.953235891671476
-10.0,-9.5,41.44029348523585
-9.5,-9.5,41.440293401489704
-9.0,-9.5,41.4402932634157
-8.5,-9.5,41.44029303577016
-8.0,-9.5,41.44029266044608
-7.5,-9.5,41.440292041641435
-7.0,-9.5,41.44029102140504
-6.5,-9.5,41.44028933931972
-6.0,-9.5,41.440286566030416
-5.5,-9.5,41.44028199365058
-5.0,-9.5,41.44027445507423
-4.5,-9.5,41.4402620260725
-4.0,-9.5,41.440241534138785
-3.5,-9.5,41.44020774872194
-3.0,-9.5,41.440152046177204
-2.5,-9.5,41.44006020872502
-2.0,-9.5,41.439908795772894
-1.5,-9.5,41.43965916184705
-1.0,-9.5,41.439247595491594
-0.5,-9.5,41.43856906557774
0.0,-9.5,41.43745043577119
0.5,-9.5,41.43560633600905
1.0,-9.5,41.432566497479804
1.5,-9.5,41.42755619436602
2.0,-9.5,41.41929979363586
2.5,-9.5,41.405698675048995
3.0,-9.5,41.3833051165398
3.5,-9.5,41.34646812752804
4.0,-9.5,41.285960804886074
4.5,-9.5,41.18681243129321
5.0,-9.5,41.02498567749567
5.5,-9.5,40.762550084394555
6.0,-9.5,40.34136222695351
6.5,-9.5,39.676550793030124
7.0,-9.5,38.65428764857213
7.5,-9.5,37.14392230865663
8.0,-9.5,35.039112614717006
8.5,-9.5,32.33293564274196
9.0,-9.5,29.19233654933369
9.5,-9.5,25.953072493453313
10.0,-9.5,22.9940895277308
-10.0,-9.0,41.44019630479038
-9.5,-9.0,41.44019616671484
-9.0,-9.0,41.440195939066776
-8.5,-9.0,41.44019556373853
-8.0,-9.0,41.44019494492699
-7.5,-9.0,41.44019392467924
-7.0,-9.0,41.440192242575215
-6.5,-9.0,41.44018946925507
-6.0,-9.0,41.44018489682435
-5.5,-9.0,41.440177358164156
-5.0,-9.0,41.44016492902417
-4.5,-9.0,41.4401444368625
-4.0,-9.0,41.44011065106982
-3.5,-9.0,41.44005494790544
-3.0,-9.0,41.43996310943165
-2.5,-9.0,41.43981169479521
-2.0,-9.0,41.43956205809243
-1.5,-9.0,41.43915048715869
-1.0,-9.0,41.43847194969685
-0.5,-9.0,41.43735330744662
0.0,-9.0,41.43550918717065
0.5,-9.0,41.43246931482613
1.0,-9.0,41.42745895597754
1.5,-9.0,41.41920246340289
2.0,-9.0,41.40560119351669
2.5,-9.0,41.38320738590075
3.0,-9.0,41.34636998711297
3.5,-9.0,41.285861991385374
4.0,-9.0,41.18671251486242
4.5,-9.0,41.02488396089821
5.0,-9.0,40.76244544845407
5.5,-9.0,40.34125290570407
6.0,-9.0,39.676434076394244
6.5,-9.0,38.654159560244075
7.0,-9.0,37.14377741896991
7.5,-9.0,35.03894431105114
8.0,-9.0,32.33273723546559
8.5,-9.0,29.192103205919437
9.0,-9.0,25.952803116348566
9.5,-9.0,22.99378723479254
10.0,-9.0,20.57596656775743
-10.0,-8.5,41.44003610190427
-9.5,-8.5,41.440035874252025
-9.0,-8.5,41.4400354989169
-8.5,-8.5,41.44003488009401
-8.0,-8.5,41.44003385982756
-7.5,-8.5,41.44003217769268
-7.0,-8.5,41.44002940432167
-6.5,-8.5,41.44002483180712
-6.0,-8.5,41.440017293008665
-5.5,-8.5,41.44000486364075
-5.0,-8.5,41.4399843711033
-4.5,-8.5,41.43995058469107
-4.0,-8.5,41.43989488050522
-3.5,-8.5,41.43980304034731
-3.0,-8.5,41.439651622934235
-2.5,-8.5,41.43940198165365
-2.0,-8.5,41.43899040317258
-1.5,-8.5,41.4383118532678
-1.0,-8.5,41.437193190504054
-0.5,-8.5,41.43534903641085
0.0,-8.5,41.432309108321526
0.5,-8.5,41.42729865759362
1.0,-8.5,41.41904201361246
1.5,-8.5,41.40544049430791
2.0,-8.5,41.38304627603716
2.5,-8.5,41.34620820172987
3.0,-8.5,41.28569909641435
3.5,-8.5,41.18654780170092
4.0,-8.5,41.0247162801453
4.5,-8.5,40.76227295513714
5.0,-8.5,40.34107268861193
5.5,-8.5,39.67624166793909
6.0,-8.5,38.65394840544903
6.5,-8.5,37.14353856697953
7.0,-8.5,35.03866686089928
7.5,-8.5,32.332410159233035
8.0,-8.5,29.191718537140037
8.5,-8.5,25.952359045696678
9.0,-8.5,22.993288902084267
9.5,-8.5,20.575423897361695
10.0,-8.5,18.773438147007365
-10.0,-8.0,41.43977202792972
-9.5,-8.0,41.43977165258324
-9.0,-8.0,41.43977103374165
-8.5,-8.0,41.43977001344435
-8.0,-8.0,41.43976833125863
-7.5,-8.0,41.43976555780379
-7.0,-8.0,41.439760985151025
-6.5,-8.0,41.4397534461247
-6.0,-8.0,41.439741016381085
-5.5,-8.0,41.4397205232242
-5.0,-8.0,41.4396867357907
-4.5,-8.0,41.43963102992108
-4.0,-8.0,41.43953918698711
-3.5,-8.0,41.43938776499713
-3.0,-8.0,41.43913811617062
-2.5,-8.0,41.43872652524874
-2.0,-8.0,41.43804795483338
-1.5,-8.0,41.436929258255724
-1.0,-8.0,41.435085048419126
-0.5,-8.0,41.432045028441664
0.0,-8.0,41.42703442626248
0.5,-8.0,41.418777532707104
1.0,-8.0,41.40517560226837
1.5,-8.0,41.38278070708586
2.0,-8.0,41.34594151927125
2.5,-8.0,41.28543058494232
3.0,-8.0,41.18627629317504
3.5,-8.0,41.02443987992551
4.0,-8.0,40.76198862202267
4.5,-8.0,40.34077562384443
5.0,-8.0,39.675924507272924
5.5,-8.0,38.65360034384538
6.0,-8.0,37.1431448501009
6.5,-8.0,35.03820951990085
7.0,-8.0,32.331871016004044
7.5,-8.0,29.191084459982534
8.0,-8.0,25.95162705216936
8.5,-8.0,22.992467464514924
9.0,-8.0,20.574529374799905
9.5,-8.0,18.772489155682965
10.0,-8.0,17.51946163938132
-10.0,-7.5,41.4393367955228
-9.5,-7.5,41.439336176650386
-9.0,-7.5,41.439335156302256
-8.5,-7.5,41.43933347403273
-8.0,-7.5,41.43933070043973
-7.5,-7.5,41.43932612755917
-7.0,-7.5,41.43931858815727
-6.5,-7.5,41.43930615779444
-6.0,-7.5,41.43928566361665
-5.5,-7.5,41.43925187449996
